title	Problem:	Implication:	Workaround:	Status:
  Writing the Local Vector Table (LVT) when an Interrupt is Pending May Cause an Unexpected Interrupt  	  If a local interrupt is pending when the LVT entry is written, an interrupt may be taken on the new interrupt vector even if the mask bit is set.  	  An interrupt may immediately be generated with the new vector when a LVT entry is written, even if the new LVT entry has the mask bit set. If there is no Interrupt Service Routine (ISR) set up for that vector the system will GP fault. If the ISR does  Intel® Atom™ Processor E6xx Series 28  May 2012 Document Number: 324209-012   not do an End of Interrupt (EOI) the bit for the vector will be left set in the in-service register and mask all interrupts at the same or lower priority. 	 Any vector programmed into an LVT entry must have an ISR associated with it, even if that vector was programmed as masked. This ISR routine must do an EOI to clear any unexpected interrupts that may occur. The ISR associated with the spurious vector does not generate an EOI, therefore the spurious vector should not be used when writing the LVT. 	  No Fix. 
  Clearing PCIe* Root Port's BME Bit With Pending Upstream Traffic Will Cause Internal Bus to Hang  	  When there are upstream transactions in any of the PCIe root port's buffers and the BME (Bus Master Enable) bit of that root port is cleared to disable the port as bus master, the completion from the BME clear configuration cycle becomes blocked by the pending upstream transactions. Given these conditions, the processor will time out waiting for the blocked configuration cycle.  	  Due to this erratum an internal bus will hang leading to: IERR, NMI, Reset, etc. 	NA	NA
 BMEs after the attached end point devices are put into idle state with no pending	NA	NA	NA	NA
 OS. 	NA	NA	NA	  No Fix. 
  CPUID Instruction Returns Incorrect Brand String  	  When a CPUID instruction is executed with EAX = 80000002H, 80000003H and 80000004H on an Intel® Atom™ processor, the return value contains the brand string Genuine Intel (R) CPU when it should have Intel(R) Atom(TM) CPU with the corresponding SKU (e.g.,: E620 or E660).  	  When this erratum occurs, the processor will report the incorrect brand string. 	NA	NA
 	NA	NA	NA	  No Fix. 
  The APIC Timer May Drift When Bus Ratios Less Than 6 Are Used  	  The APIC Timer may not decrement correctly when using bus ratios lower than 6. This may cause limited amounts of drift.  	  Due to this erratum, in the worst case of a nominal bus frequency of 100 MHz, a DCR (Divide Configuration Register) of 128 and a bus ratio of 4, the counter can drift by up to ~60 µs per timer countdown. 	NA	NA
 will disable bus ratios less than 6. 	NA	NA	NA	  No fix for B0. Ultra Low Frequency Mode is de-featured in B1. 
  Extended Tags Are Always Used But Not Reported on PCIe* Root Ports  	  Although the device's PCIe root ports do not report 8-bit Extended Tag support in the DCAP.EFTS register and don't allow the enabling of Extended Tags in the DCTL.ETFE register, they will still generate transactions with Extended Tags.  	  PCIe end points that do not support extended tags as required by the PCIe Base Specification may fail.  	 None identified. 	  No fix  May 2012 Document Number: 324209-012  Intel® Atom™ Processor E6xx Series 29  
  Outbound MSI From The PMU Can Result in Live Lock And/or System Hang When Simultaneously Occurring With an Inbound I/O Read  	  The Power Management Unit (PMU) is capable of generating Message Signaled Interrupts (MSI) to the processor. In specific corner cases, an outbound MSI from the PMU may occur simultaneously with an inbound I/O read resulting in live lock and/or a system hang.  	  When this erratum occurs, the processor may live lock and/or result in a system hang. The PMU will not be able to support MSI for display power up and thermal trip events.  	 PMU MSIs have been disabled in firmware. Software is required to not enable the MSIs for thermal events and Display power up. 	  No Fix 
  SMBus Timing Violation  	  Due to this erratum, there is a violation of the specified requirement for SMB Hold Time. The processor hold time from the falling edge of SMB Data to the falling edge of SMB CLK is 1/4 the programmed SMB CLK period. In the case of a 100 kHz bus, this becomes 10 µs / 4 = 2.5 µs, which violates the 4.0 µs specification.  	  Intel has not observed any functional failures with any commercially available systems.  	 Customers have the option to program for slower SMB CLK. 	  No Fix. 
  RTC Does Not Detect a Coin Cell Battery Low Voltage Condition  	  The RTC's (Real Time Clock) TRC.RTCIO bit in the GPE0BLK (Offset 34H; bit 2) is not set to 1 when the coin cell battery voltage is below the replacement threshold.  	  Software is unable to report when the RTC battery voltage is below the replacement threshold.  	 None identified. 	  No Fix.
  A Write to an APIC Register Sometimes May Appear to Have Not Occurred  	  With respect to the retirement of instructions, stores to the uncacheable memory based APIC register space are handled in a non-synchronized way. For example if an instruction that masks the interrupt flag, e.g. CLI, is executed soon after an uncacheable write to the Task Priority Register (TPR) that lowers the APIC priority, the interrupt masking operation may take effect before the actual priority has been lowered. This may cause interrupts whose priority is lower than the initial TPR, but higher than the final TPR, to not be serviced until the interrupt enabled flag is finally set, i.e. by STI instruction. Interrupts will remain pending and are not lost.  In this example the processor may allow interrupts to be accepted but may delay their service. This non-synchronization can be avoided by issuing an APIC register read after the APIC register write. This will force the store to the APIC register before any subsequent instructions are executed. No commercial operating system is known to be impacted by this erratum. 	NA	NA	  For the steppings affected, see the Summary Tables of Changes. 
  An xTPR Update Transaction Cycle, if Enabled, May be Issued to the FSB after the Processor has Issued a Stop-Grant Special Cycle  	  According to the FSB (Front Side Bus) protocol specification, no FSB cycles should be issued by the processor once a Stop-Grant special cycle has been issued to the bus. If xTPR update transactions are enabled by clearing the IA32_MISC_ENABLES[bit 23] at the time of Stop-Clock assertion, an xTPR update transaction cycle may be issued to the FSB after the processor has issued a Stop Grant Acknowledge transaction.  When this erratum occurs in systems using C-states C2 (Stop-Grant State) and higher the result could be a system hang. 	NA	  BIOS must leave the xTPR update transactions disabled (default).  	  For the steppings affected, see the Summary Tables of Changes. 
  Processor May Report a #TS Instead of a #GP Fault  	  A jump to a busy TSS (Task-State Segment) may cause a #TS (invalid TSS exception) instead of a #GP fault (general protection exception).  Operation systems that access a busy TSS may get invalid TSS fault instead of a #GP fault. Intel has not observed this erratum with any commercially available software. None 	NA	NA	  For the steppings affected, see the Summary Tables of Changes.   15  
  Writing the Local Vector Table (LVT) when an Interrupt is Pending May Cause an Unexpected Interrupt  	  If a local interrupt is pending when the LVT entry is written, an interrupt may be taken on the new interrupt vector even if the mask bit is set.  An interrupt may immediately be generated with the new vector when a LVT entry is written, even if the new LVT entry has the mask bit set. If there is no Interrupt Service Routine (ISR) set up for that vector the system will GP fault. If the ISR does not do an End of Interrupt (EOI) the bit for the vector will be left set in the in-service register and mask all interrupts at the same or lower priority. Any vector programmed into an LVT entry must have an ISR associated with it, even if that vector was programmed as masked. This ISR routine must do an EOI to clear any unexpected interrupts that may occur. The ISR associated with the spurious vector does not generate an EOI, therefore the spurious vector should not be used when writing the LVT. 	NA	NA	  For the steppings affected, see the Summary Tables of Changes. 
